Name_Mainclass	Name_subclass_level2	Number
(Iso)Nitriles	CN_single	256
(Iso)Nitriles	xCN	257
(Iso)Nitriles	CN_conj	258
(Iso)Nitriles	CN_arom_single	259
(Iso)Nitriles	xCN_arom	260
(Iso)Nitriles	Cyanhydrine	261
(Iso)Nitriles	Cyanamine	262
(Iso)Nitriles	Isocyanid_single	263
(Iso)Nitriles	xIsocyanid	264
(Iso)Nitriles	Isocyanid_on_arom_single	265
(Iso)Nitriles	xIsocyanid_on_arom	266
Acids	Halogenic_acid(F_or_Cl_or_Br_or_I_-_H)	50
Acids	Halogene_oxoacid(XOOOH)	52
Acids	Carboxylic_acid_nointra_single	105
Acids	xCarboxylic_acid_nointra	106
Acids	xCarboxylic_acid_intra_conj	108
Acids	xCarboxylic_acid_intra_1,3	109
Acids	Aromatic_acid_single	119
Acids	xAromatic_acid	120
Acids	Formic_acid	125
Acids	Peroxyacid	154
Acids	Peroxyacid_ester	155
Acids	Lactime_ring(ImidicAcid)	206
Acids	xAmide(ImidicAcid)	207
Acids	ImidicAcid_chain	208
Acids	ImidicAcid_ester_chain	209
Acids	ImidicAcid_ester_ring	210
Acids	Imide(ImidicAcid)	211
Acids	Sulfinic_acid	367
Acids	Sulfonic_acid	368
Acids	Sulfonic_acid_on_arom	369
Acids	Acylhalide(Acid_with_halogene)	334
Alcohols	Methanol	54
Alcohols	Alcohol_chain_single	75
Alcohols	Alocohol_ring_single	76
Alcohols	Alocohol_sec_single	77
Alcohols	Alcohol_tert_single	78
Alcohols	xAlcohol_intra_chain(1,2)	69
Alcohols	xAlcohol_intra_chain(1,3)	70
Alcohols	xAlcohol_intra_ring(1,2)	71
Alcohols	xAlcohol_intra_ring(1,3)	72
Alcohols	Enol	82
Alcohols	Diole_nointra	73
Alcohols	Triole_nointra	74
Alkenes	Alkene_chain_noconj	13
Alkenes	Alkene_chain_conj	14
Alkenes	Alkene_ring_noconj	16
Alkenes	Alkene_ring_conj	17
Amides	Amide_prim	214
Amides	Amide_sec	215
Amides	Amide_tert	216
Amides	Amide_chain	212
Amides	Amide_chain_conj	213
Amides	Amide_ring_single	198
Amides	Amide_ring_conj	199
Amides	prim_Amide_arom	200
Amides	sec_Amide_arom	201
Amides	tert_Amide_arom	202
Amides	ring_Amide_arom	203
Amides	sec_Amide_on_arom	204
Amides	tert_Amide_on_arom	205
Amines	Ammonia	162
Amines	Amine_prim_single	166
Amines	Amine_prim_arom_single	167
Amines	Amine_sec_chain_single	168
Amines	Amine_sec_ring_single	169
Amines	Aziridne	172
Amines	Amine_sec_arom_single	173
Amines	Amine_tert_chain_single	174
Amines	Amine_tert_ring_single	175
Amines	Amine_tert_aromate_single	176
Amines	xAmine_chain&ring	177
Amines	xAmine_arom	178
Aromatics	Halogen(F)_on_arene	45
Aromatics	Halogen(Cl)_on_arene	46
Aromatics	Halogen(Br)_on_arene	47
Aromatics	Halogen(I)_on_arene	48
Aromatics	_-N(+)-(Halogene)_in_arom	246
Aromatics	N-C_in_arom_single	252
Aromatics	N-H_in_arom_single	253
Aromatics	Phenol_single	306
Aromatics	xPhenol	307
Aromatics	xPhenol_neighbor	308
Aromatics	Aromatics(pureAlkaneBased)	4
Aromatics	O_in_arom_single	336
Aromatics	xO_in_arom	337
Carbonyls	Aldehyde_single	86
Carbonyls	Ketone_chain_single	87
Carbonyls	Ketone_ring_single	88
Carbonyls	xCarbonyl_noconj	89
Carbonyls	Carbonyl_conj	90
Carbonyls	Carbonyl_Arom	91
Carbonyls	Diketone_1,3	92
Carbonyls	Formaldehyde	85
Carboxylates	Carboxylate_single	112
Carboxylates	Carboxylate_conj	115
Carboxylates	xCarboxylate_nointra	113
Carboxylates	Carboxylate_1,3	116
Esters	Ester_formic_single	129
Esters	Ester_chain_single	127
Esters	Ester_ring_single	128
Esters	xEster_nointra	130
Esters	Ester_on_aromat	132
Esters	Ester_aromat	131
Esters	Ester_conj	133
Esters	Ester_1,3	134
Ethers	Ether_chain_single	139
Ethers	Ether_ring_single	140
Ethers	xEther	141
Ethers	Ether_on_aromat_single	142
Ethers	Hemiacetal_chain	143
Ethers	Lactol	144
Ethers	Acetal	145
Ethers	Orthoester	146
OtherNitrogens	Nitrogen	225
OtherNitrogens	N-N_chain	226
OtherNitrogens	N-N_ring	227
OtherNitrogens	N=N_chain	228
OtherNitrogens	N=N_ring	229
OtherNitrogens	_-N=_chain_noconj	238
OtherNitrogens	_-N=_ring_noconj	239
OtherNitrogens	Carboimide(-N=)	240
OtherNitrogens	_-N=_conj	241
OtherNitrogens	Amidine(-N=)	243
OtherNitrogens	Guanidine(-N=)	244
OtherNitrogens	Oxim_all(-O-N)	298
OtherNitrogens	Nitroso_all(-O-N)	299
OtherNitrogens	Nitro_all(-O-N)	300
OtherNitrogens	Nitrat_all(-O-N)	301
OtherNitrogens	Alkoxy_all(-O-N)	302
OtherNitrogens	HO-N	303
OtherNitrogens	_-O-N	304
